Fabric_Care
"['Recycled Polyester 100%', 'Machine wash', 'Imported']"
"['Recycled Polyester 100%', 'Machine wash', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Polyester 54%, Recycled Wool 41%, Other 5%', 'Machine wash', 'Imported']"
"['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['Recycled Wool 50%, Polyester 40%, Other 10%', 'Dry clean', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['100% Recycled Polyester', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 23%, Cotton 77%', 'Machine wash', 'Imported']"
"['Recycled Polyester 23%, Cotton 77%', 'Machine wash', 'Imported']"
